state_ut,serial_no,address_raw,host_organization,year_of_sanction,type
Punjab,20,"Handitya, Barnala District","Vice Chancellor Guru Angad Dev Veterinary & Animal Sciences University, Ferozpur Road, Ludhiana-141 004",,
Punjab,21,"District Fazilka, (Punjab)","Director CIPHET, Abohar, Punjab",,
Uttarakhand,1,Distt. Bagheshwar-,"Director, Vivekananda Parvatiya Krishi Anusandhan Sansthan, ICAR, Almora",2007,ICAR
Uttarakhand,2,"Jeolikote, Distt. Nainital-263135","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,3,"Gwaldam, Distt. Chamoli-246441","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,4,Dhanauri Distt. Haridwar-249404,"Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,5,"Chaubatia, Ranikhet, Distt. Almora-263651","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,6,"VCSGCH, Bharsar, Via Chipalghat Distt. Pauri Garhwal-46123","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,7,"Jahdhar, Via Guptakashi Distt. Rudraprayag-246439","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,8,"Sugarcane Research Centre, Bajpur Road, Kashipur, Distt. Udham Singh Nagar-244713","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,9,"PO. Gaina Ancholi, Distt. Pithouragarh-262501","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,10,"Dhakrani, PO. Herbertpur, Distt. Dehradun248001","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",2004,SAU
Uttarakhand,11,"Chinyalisaur, Distt. Uttarkashi-249196","Director, Vivekananda Parvatiya Krishi Anusandhan Sansthan, ICAR, Almora.",2004,ICAR
Uttarakhand,12,"PO. Gulchora,Lohaghat, Distt. Champawat-262524","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145",1994,SAU
Uttarakhand,13,"GBPUAT Hill Campus, Ranichauri, Distt. Tehri Garhwal-249199","Vice-Chancellor, G. B. Pant University of Agriculture and Technology, Pantnagar-263 145	1983 $",1983,SAU
Himachal Pradesh,1,"RRS, Kukumseri Distt. (Lahaul & Spiti)-175 142","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",2004,SAU
Himachal Pradesh,2,"Research Sub Station, Berthin, Distt. Bilaspur-174 029","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",2004,SAU
Himachal Pradesh,3,"PO. & Teh. Kandaghat, Distt. Solan-173215","Vice-Chancellor, Dr. Y.S. Parmar University of Horticulture & Forestry, Solan Nauni-173 230",2004,SAU
Himachal Pradesh,4,"Doonga Bazar, Kangra, Distt. Kangra-176 001","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",2000,SAU
Himachal Pradesh,5,"Kinnaur at Reckong Peo, Distt. Kinnaur-172 107","Vice-Chancellor, Dr. Y.S. Parmar University of Horticulture & Forestry, Solan Nauni-173 230",1995,SAU
Himachal Pradesh,6,"Near Petrol Pump, Rohru, Distt. Shimla-171 207","Vice-Chancellor, Dr. Y.S. Parmar University of Horticulture & Forestry, Solan Nauni-173 230",1995,SAU
Himachal Pradesh,7,"Rampur, Distt. Una-174 303","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",1994,SAU
Himachal Pradesh,8,"Sundernagar, Distt. Mandi-174 402","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",1994,SAU
Himachal Pradesh,9,"Chamba at Saru, VPO. Saru Distt. Chamba-176 310","Vice-Chancellor, Dr. Y.S. Parmar University of Horticulture & Forestry, Solan Nauni-173 230",1991,SAU
Himachal Pradesh,10,"Hamirpur at Bara, Distt. Hamirpur-177 044","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",1988,SAU
Himachal Pradesh,11,"Bajaura, Distt. Kullu-175 125","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",1985,SAU
Himachal Pradesh,12,"Regional Research Station, Dhaulakuan, Distt. Sirmaur-173 001","Vice-Chancellor, Ch. Sarwan Kumar Krishi Vishwavidylaya, Palampur-176 062",1983,SAU
Himachal Pradesh,13,"Village Tabo,, Lahaul & Spiti Distt. of Himachal Pradesh","Vice-Chancellor, Dr. Y.S. Parmar University of Horticulture & Forestry,, Solan Nauni-173 230",06.01.2017,SAU
Delhi,1,"Ujwa, New Delhi-110 073","Director, NHRDF, Janakpuri, New Delhi-110058",1995,PSU
Haryana,1,"Govt. Seed Farm, Distt. Fatehabad-125 050.","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",2004,SAU
Haryana,2,"Govt. Agricultural Farm, Bir Sunarwala, Distt. Jhajjar-124 103","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",2004,SAU
Haryana,3,"Govt. Seed Farm Kohlawas, Distt. Bhiwani-125 021","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",2004,SAU
Haryana,4,"Near Jat College, Distt. Rohtak-124 001","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",2002,SAU
Haryana,5,Tehsil Road Distt. Sirsa-125 055,"Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",2002,SAU
Haryana,6,Distt. Mahendergarh-123029,"Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",2002,SAU
Haryana,7,"Village Tepla, PO. Saha, Distt. Ambala-133 104","President, Society for Creation of Heaven on Earth, R.K. Khanna Tennis Stadium, 2nd Floor, Romm No.1&2 Africa Avenue, New Delhi-110029",1995,NGO
